OG0003772	GO:0005634,GO:0000703,GO:0006289,GO:0006285,GO:0003906
OG0001680	GO:0000981,GO:0005634,GO:0006357,GO:0000977
OG0008948	GO:0097602,GO:0043161,GO:0031463,GO:0005737
OG0001789	GO:0016020
OG0003436	GO:0000151,GO:0006511
OG0009012	GO:0003723
OG0002347	GO:0032589,GO:0050808
OG0008082	GO:0043161,GO:0034657,GO:0007039,GO:0045721,GO:0006623
OG0008969	GO:0005886,GO:0035023,GO:0031267
OG0004680	GO:0005096,GO:0007264
OG0005971	GO:0006362,GO:0005736,GO:0006352
OG0010263	GO:0016887,GO:0031011,GO:0006281,GO:0042393,GO:0006338
OG0002732	GO:0000978,GO:0042795,GO:0001006,GO:0019185,GO:0042796
OG0005619	GO:0005737,GO:0016887
OG0007011	GO:0005634
OG0004289	GO:0006661,GO:0003881,GO:0005794
OG0005732	GO:0004467,GO:0005783,GO:0016020
OG0001206	GO:0050911,GO:0007608,GO:0005549,GO:0005886,GO:0016020,GO:0004984
OG0008076	GO:0051015,GO:0051017,GO:0005737
OG0007446	GO:0019722,GO:0030425,GO:0014069,GO:0007015,GO:0051015,GO:0015629,GO:0031175,GO:0005737
OG0006799	GO:0044818,GO:0070876,GO:0003677,GO:0000724,GO:0010212
OG0007222	GO:0005765,GO:0005096,GO:1904262,GO:0010508,GO:0034198,GO:1990130
OG0003827	GO:0008458,GO:0016746,GO:0005777
OG0003113	GO:0016020,GO:0006506,GO:0005783
OG0004080	GO:0006357,GO:0016538
OG0003302	GO:0055080,GO:0034703,GO:0005261,GO:0030424
OG0006190	GO:1904684,GO:0005886,GO:0004866,GO:0030198,GO:0008191
OG0000783	GO:0097550,GO:0017025,GO:0016251,GO:0070897,GO:0006367,GO:0005634,GO:0006352
OG0004765	GO:0042147,GO:0099041,GO:0005802
OG0002576	GO:0045747,GO:0005634
OG0000350	GO:0016491
OG0006689	GO:0032509,GO:0031902,GO:0043328,GO:0043130,GO:0000814
OG0000258	GO:0030527,GO:0003677,GO:0000786
OG0000917	GO:0042246,GO:0016020,GO:0007155
OG0009631	GO:0005615,GO:0017171,GO:0016042,GO:0016298
OG0004647	GO:0006979,GO:0005634
OG0010017	GO:0005576,GO:0008061,GO:0004568,GO:0006032
OG0008262	GO:0000981,GO:0000977,GO:0006357,GO:0005634
OG0001636	GO:0015918,GO:0032934
OG0005654	GO:0005634,GO:0006479,GO:0008276
OG0005302	GO:0031145,GO:0005680,GO:0051301,GO:0016567,GO:0045842
OG0007403	GO:0004674,GO:0005737,GO:0006468
OG0006282	GO:0005634,GO:0004674,GO:0007346,GO:0006468
OG0008118	GO:0038203,GO:0051897,GO:0031929,GO:0043539,GO:0031932
OG0008895	GO:0006508,GO:0004185
OG0007612	GO:0045337,GO:0005737,GO:0004161,GO:0004337,GO:0008299,GO:0016765
OG0001243	GO:0005507,GO:0030667,GO:0004500,GO:0006589,GO:0005615,GO:0042420,GO:0042421
OG0007708	GO:0006413,GO:0031369,GO:0001731,GO:0003729,GO:0005850,GO:0003743
OG0008033	GO:0045214,GO:0031430
OG0009080	GO:0003998
OG0007671	GO:0000398,GO:0005681
OG0005163	GO:0012505,GO:0046527
OG0008915	GO:0031526
OG0001776	GO:0004252,GO:0006508
OG0003547	GO:0005884,GO:0008017,GO:0031110,GO:0005737,GO:0001725,GO:0051764,GO:0035371,GO:0051015,GO:0008093,GO:1904825,GO:0001578
OG0007420	GO:0006367,GO:0005673,GO:0001097
OG0005361	GO:0043596,GO:0006281,GO:0031297,GO:0048478
OG0008308	GO:0018345,GO:0016409
OG0007118	GO:0006887,GO:0005886,GO:0042043,GO:0070382
OG0002144	GO:0007035,GO:1902600,GO:0046961,GO:0051117,GO:0016471,GO:0033179,GO:0005886
OG0007073	GO:0005634,GO:0017116,GO:0006268,GO:0005524,GO:0042555,GO:0003677,GO:0003697,GO:0000727,GO:0006270,GO:0006271
OG0009537	GO:0007283
OG0009902	GO:0000956,GO:0003723,GO:0030687,GO:0042273,GO:0005730,GO:0006364
OG0010333	GO:0008081,GO:0005764,GO:0005615,GO:0061750,GO:0006685,GO:0046513
OG0000721	GO:0006309,GO:0000014,GO:0004521,GO:0005743,GO:0005634,GO:0004519
OG0000439	GO:0005615,GO:0031012
OG0004949	GO:0006612,GO:0019706,GO:0016409,GO:0018230,GO:0005783,GO:0005794
OG0003795	GO:0006355,GO:0000981,GO:0000978
OG0004026	GO:0000122,GO:0000981,GO:0030514,GO:0046332,GO:0005667,GO:0000978,GO:0005737,GO:0005634
OG0010405	GO:0006457,GO:0050821,GO:0005739,GO:0030150,GO:0051087
OG0006136	GO:0005615,GO:0007608
OG0001558	GO:0006606,GO:0005634
OG0008157	GO:0004364,GO:0005737,GO:0006749
OG0005921	GO:0007155,GO:0031012
